NO,NO. NOTA PENJUALAN,TANGGAL PENJUALAN,NAMA PENJUAL,NAMA PEMBELI,Ur Barang,Jumlah Satuan,Kd Satuan,Netto,Bruto,Fob Valuta,KODE VALUTA,NDPBM,FOB DALAM RUPIAH
1,000001,1/1/2023,PT OILTANKING KARIMUN QQ VITOL ASIA PTE LTD,TO THE ORDER OF VITOL ASIA PTE LTD,HSFO,"5,125,514.00",KGM,"5,125,514.00","5,125,514.00","1,870,812.61",USD,"15,606.00","29,195,901,591.66"
2,000009,1/2/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,451.00",TNE,"4,451,000.00","4,451,000.00","43,174.70",SGD,"11,538.83","498,185,523.60"
3,000010,1/2/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","4,365.00",TNE,"4,365,000.00","4,365,000.00","36,666.00",SGD,"11,538.83","423,082,740.78"
4,000012,1/2/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","5,012,000.00",KGM,"5,012,000.00","5,012,000.00","45,609.20",SGD,"11,538.83","526,276,805.24"
5,000013,1/2/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","4,351,000.00",KGM,"4,351,000.00","4,351,000.00","34,808.00",SGD,"11,538.83","401,643,594.64"
6,000014,1/2/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/15"" - 1 1/2"" ( NEW )","2,624,000.00",KGM,"2,624,000.00","2,624,000.00","17,580.80",SGD,"11,538.83","202,861,862.46"
7,000016,1/2/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE          3/15""  -  1  1/2""   (NEW)","4,715,000.00",KGM,"4,715,000.00","4,715,000.00","37,720.00",SGD,"11,538.83","435,244,667.60"
8,000019,1/3/2023,PT OILTANKING KARIMUN QQ VITOL ASIA PTE LTD,TO THE ORDER OF VITOL ASIA PTE LTD,HSFO,"5,101.51",TNE,"5,101,514.00","5,101,514.00","1,862,052.61",USD,"15,606.00","29,059,193,031.66"
9,000025,1/3/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,507.00",TNE,"4,507,000.00","4,507,000.00","43,717.90",SGD,"11,538.83","504,453,416.06"
10,000026,1/3/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","4,227.00",TNE,"4,227,000.00","4,227,000.00","35,506.80",SGD,"11,538.83","409,706,929.04"
11,000027,1/3/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","3,635,000.00",KGM,"3,635,000.00","3,635,000.00","29,080.00",SGD,"11,538.83","335,549,176.40"
12,000028,1/3/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,985,000.00",KGM,"4,985,000.00","4,985,000.00","45,363.50",SGD,"11,538.83","523,441,714.71"
13,000031,1/3/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE          5/8""   (NEW)","1,012,000.00",KGM,"1,012,000.00","1,012,000.00","9,108.00",SGD,"11,538.83","105,095,663.64"
14,000031,1/3/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE          3/16""   (NEW)","3,303,000.00",KGM,"3,303,000.00","3,303,000.00","20,478.60",SGD,"11,538.83","236,299,084.04"
15,000032,1/3/2023,PT OILTANKING KARIMUN QQ VITOL ASIA PTE LTD,OIL MARKETING COMPANY (SOMO),GASOLINE,"313,360.41",BLL,"37,191,482.00","37,191,482.00","30,709,320.18",USD,"15,606.00","479,249,650,729.08"
16,000034,1/3/2023,PT. SAIPEM INDONESIA,LEEDEN NATIONAL OXYGEN LTD,"USED, EMPTY NORMAL ARGON RACK (16 CYLINDER/RACK): 29067, 27513, 21449, 29107, 29259, 29410, 28022, 25099, 23018, 29176, 20084, 22026, 28122, 21350, 21007, 29433, 21592, 27299, 21623, 22057 #NON COMMERCIAL VALUE",20.00,RA,"26,000.00","26,000.00","10,000.00",USD,"15,606.00","156,060,000.00"
17,000035,1/3/2023,PT. SAIPEM INDONESIA,YEOW HWA ENGINEERING PTE LTD,"NEW, 600B - PROFILE HE (EU) MATERIAL: ASTM A572 GRADE 50 CV1 - CERT.: CERT. 3.1 PER EN 10204 (2004) OR EQUIVALENT - OTHERS REQUIREMENT: ACCORDING TO PROJECT SPEC. 033727-E-D-01-SPM-SD-S-00005 - LAST REVISION
QG-SH-12632, QG-SH-12633 #NON COMMERCIAL VALUE",3.00,PCE,"7,504.80","7,504.80","9,681.19",USD,"15,606.00","151,084,651.14"
18,000035,1/3/2023,PT. SAIPEM INDONESIA,YEOW HWA ENGINEERING PTE LTD,"NEW, ""450B - PROFILE HE (EU) MATERIAL: ASTM A572 GRADE 50 CV1 - CERT.: CERT. 3.1 PER EN 10204 (2004) OR EQUIVALENT - OTHERS REQUIREMENT: ACCORDING TO PROJECT SPEC. 033727-E-D-01-SPM-SD-S-00005 - LAST REVISION
QG-SH-13391, QG-SH-13377 #NON COMMERCIAL VALUE",4.00,PCE,"8,208.00","8,208.00","10,588.32",USD,"15,606.00","165,241,321.92"
19,000036,1/4/2023,PT OILTANKING KARIMUN QQ UNIPEC SINGAPORE PTE. LTD.,BANGLADESH PETROLEUM CORPORATION,GASOIL,"227,442.83",BLL,"29,956,358.00","29,956,358.00","27,065,696.77",USD,"15,665.00","423,984,139,902.05"
20,000037,1/4/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","3,273.00",TNE,"3,273,000.00","3,273,000.00","31,748.10",SGD,"11,640.53","369,564,710.49"
